candidate,prompt,ttft_ms_mean,total_ms_mean,completion_tokens_mean,decode_tok_s_mean,tool_use_mode,n
gemma4-26b-a4b-r3,synth-resx-toolbar-button,10793.5,13859.5,948,71.24,native,1
gemma4-26b-a4b-r3,synth-vanderpol-rk4-bugfix,33001.7,35252.9,2444,70.3,native,1
gemma4-26b-a4b-r3,synth-vanderpol-rk4-stepper-c,54994.4,58864.3,4096,70.17,native,1
glm-4.5-air,humaneval-100,44466.11,52441.3,1881.74,37.33,,100
glm-4.5-air,synth-bulk-dispatcher-impl,118749.6,118749.6,4096,34.75,native,1
glm-4.5-air,synth-horner-mpmath-derivative,82369.6,103904.0,3623,35.17,native,1
glm-4.5-air,synth-invoke-sign-artifacts-ps,7025.2,35116.9,1286,37.64,native,1
glm-4.5-air,synth-legacy-rename-toolchain,5695.0,32022.8,976,38.27,native,1
glm-4.5-air,synth-nuget-multitarget-design,27663.1,27663.1,1024,38.13,native,1
glm-4.5-air,synth-parser-nunit-tests,89011.8,95515.5,3366,35.55,native,1
glm-4.5-air,synth-poincare-section-pytest,57621.4,81587.0,2872,35.67,native,1
glm-4.5-air,synth-range-expand-bug-fix,118452.3,118452.3,4096,34.84,native,1
glm-4.5-air,synth-relay-command-refactor,73894.6,82803.9,2929,35.77,native,1
glm-4.5-air,synth-resx-toolbar-button,87170.1,99597.1,3485,35.29,native,1
glm-4.5-air,synth-vanderpol-rk4-bugfix,11898.1,16890.4,617,38.45,native,1
glm-4.5-air,synth-vanderpol-rk4-stepper-c,111716.4,118718.9,4096,34.75,native,1
glm-4.7-flash-r3,humaneval-100,16474.12,18397.52,1244.64,69.8,,100
glm-4.7-flash-r3,synth-bulk-dispatcher-impl,55014.4,61687.2,4096,66.82,native,1
glm-4.7-flash-r3,synth-horner-mpmath-derivative,61853.2,61853.2,4096,66.72,native,1
glm-4.7-flash-r3,synth-invoke-sign-artifacts-ps,34371.9,44377.5,2980,67.78,native,1
glm-4.7-flash-r3,synth-legacy-rename-toolchain,3678.9,31742.2,1882,69.78,native,1
glm-4.7-flash-r3,synth-nuget-multitarget-design,15039.1,15039.1,1024,69.86,native,1
glm-4.7-flash-r3,synth-parser-nunit-tests,19588.3,21364.6,1457,69.43,native,1
glm-4.7-flash-r3,synth-poincare-section-pytest,62059.5,62059.5,4096,66.52,native,1
glm-4.7-flash-r3,synth-range-expand-bug-fix,10884.1,12403.1,838,69.84,native,1
glm-4.7-flash-r3,synth-relay-command-refactor,18097.1,19840.6,1349,69.39,native,1
glm-4.7-flash-r3,synth-resx-toolbar-button,14724.4,17462.6,1186,69.56,native,1
glm-4.7-flash-r3,synth-vanderpol-rk4-bugfix,61763.2,61763.2,4096,66.76,native,1
glm-4.7-flash-r3,synth-vanderpol-rk4-stepper-c,25739.4,31540.6,2132,68.53,native,1
gpt-oss-120b,humaneval-100,3042.1,14358.75,998.71,74.78,,100
gpt-oss-120b,synth-bulk-dispatcher-impl,6016.2,23357.3,1674,74.29,native,1
gpt-oss-120b,synth-horner-mpmath-derivative,6056.9,13802.9,966,74.59,native,1
gpt-oss-120b,synth-invoke-sign-artifacts-ps,3845.2,26893.3,1931,74.06,native,1
gpt-oss-120b,synth-legacy-rename-toolchain,7574.2,24504.0,1325,74.6,native,1
gpt-oss-120b,synth-nuget-multitarget-design,4392.3,12407.3,869,74.71,native,1
gpt-oss-120b,synth-parser-nunit-tests,6484.0,13200.2,924,74.7,native,1
gpt-oss-120b,synth-poincare-section-pytest,15644.4,30414.6,2183,73.99,native,1
gpt-oss-120b,synth-range-expand-bug-fix,3571.9,5000.8,312,74.74,native,1
gpt-oss-120b,synth-relay-command-refactor,3908.5,9909.8,678,74.69,native,1
gpt-oss-120b,synth-resx-toolbar-button,4566.7,10399.6,715,74.71,native,1
gpt-oss-120b,synth-vanderpol-rk4-bugfix,5027.4,6869.9,450,74.71,native,1
gpt-oss-120b,synth-vanderpol-rk4-stepper-c,10541.1,17543.3,1243,74.51,native,1
mistral-small-4-119b,humaneval-100,2369.9,10730.82,472.28,56.51,,100
mistral-small-4-119b,synth-bulk-dispatcher-impl,731.7,9985.2,524,56.63,native,1
mistral-small-4-119b,synth-horner-mpmath-derivative,695.1,3002.9,131,56.76,native,1
mistral-small-4-119b,synth-invoke-sign-artifacts-ps,815.6,15879.1,851,56.49,native,1
mistral-small-4-119b,synth-legacy-rename-toolchain,1344.9,10723.4,411,57.98,native,1
mistral-small-4-119b,synth-nuget-multitarget-design,643.9,6865.3,352,56.58,native,1
mistral-small-4-119b,synth-parser-nunit-tests,758.1,7665.3,390,56.46,native,1
mistral-small-4-119b,synth-poincare-section-pytest,896.5,14418.4,761,56.28,native,1
mistral-small-4-119b,synth-range-expand-bug-fix,749.8,2672.2,109,56.7,native,1
mistral-small-4-119b,synth-relay-command-refactor,793.8,3640.4,161,56.56,native,1
mistral-small-4-119b,synth-resx-toolbar-button,712.5,5024.7,244,56.58,native,1
mistral-small-4-119b,synth-vanderpol-rk4-bugfix,771.4,3219.0,139,56.78,native,1
mistral-small-4-119b,synth-vanderpol-rk4-stepper-c,725.7,8228.7,424,56.51,native,1
qwen3-coder-30b-r3,humaneval-100,310.4,6040.12,533.97,94.08,,100
qwen3-coder-30b-r3,synth-bulk-dispatcher-impl,274.8,6474.8,580,93.55,native,1
qwen3-coder-30b-r3,synth-horner-mpmath-derivative,277.8,1905.1,154,94.63,native,1
qwen3-coder-30b-r3,synth-invoke-sign-artifacts-ps,308.7,6065.8,539,93.62,native,1
qwen3-coder-30b-r3,synth-legacy-rename-toolchain,1316.5,14849.5,1134,90.3,native,1
qwen3-coder-30b-r3,synth-nuget-multitarget-design,254.5,2356.8,198,94.18,native,1
qwen3-coder-30b-r3,synth-parser-nunit-tests,295.0,4148.8,362,93.93,native,1
qwen3-coder-30b-r3,synth-poincare-section-pytest,337.8,9784.5,864,91.46,native,1
qwen3-coder-30b-r3,synth-range-expand-bug-fix,322.1,1446.9,106,94.22,native,1
qwen3-coder-30b-r3,synth-relay-command-refactor,287.9,2117.9,173,94.53,native,1
qwen3-coder-30b-r3,synth-resx-toolbar-button,313.5,2615.6,217,94.26,native,1
qwen3-coder-30b-r3,synth-vanderpol-rk4-bugfix,305.1,1770.2,138,94.19,native,1
qwen3-coder-30b-r3,synth-vanderpol-rk4-stepper-c,301.1,4171.5,364,94.04,native,1
qwen3-coder-next,humaneval-100,618.39,8682.5,541.28,67.21,,100
qwen3-coder-next,synth-bulk-dispatcher-impl,542.2,11834.5,755,66.86,native,1
qwen3-coder-next,synth-horner-mpmath-derivative,558.1,2125.7,106,67.61,native,1
qwen3-coder-next,synth-invoke-sign-artifacts-ps,590.9,16004.9,1030,66.82,native,1
qwen3-coder-next,synth-legacy-rename-toolchain,1913.7,12145.8,494,67.24,native,1
qwen3-coder-next,synth-nuget-multitarget-design,482.3,5228.9,320,67.41,native,1
qwen3-coder-next,synth-parser-nunit-tests,584.2,5504.7,330,67.06,native,1
qwen3-coder-next,synth-poincare-section-pytest,703.7,22502.8,1457,66.84,native,1
qwen3-coder-next,synth-range-expand-bug-fix,602.0,2180.1,106,67.16,native,1
qwen3-coder-next,synth-relay-command-refactor,585.2,3038.1,165,67.26,native,1
qwen3-coder-next,synth-resx-toolbar-button,608.6,6151.7,371,66.93,native,1
qwen3-coder-next,synth-vanderpol-rk4-bugfix,586.9,2639.3,138,67.23,native,1
qwen3-coder-next,synth-vanderpol-rk4-stepper-c,581.0,6488.2,397,67.2,native,1
